id, Longitude,Latitude,Height,Tree_DBH,Biomass,Carbon
94,112.9364592,28.17068532,17.09814503,0.617401705,2.480435388,1.190608986
95,112.9364556,28.17054603,16.97238924,0.471660099,1.509358675,0.724492164
96,112.9368153,28.17079903,5.320163306,0.339584892,0.287576528,0.138036733
97,112.936686,28.17088448,9.331594129,0.331921193,0.462039657,0.221779035
98,112.936604,28.17077446,13.80917592,0.431703461,1.063133006,0.510303843
99,112.9365885,28.17055312,8.872936637,0.350317402,0.485924275,0.233243652
100,112.9365858,28.17065087,11.14734327,0.403173999,0.771559426,0.370348525
101,112.936933,28.17161498,1.354893736,0.064082812,0.004879161,0.002341998
102,112.9372062,28.17113791,10.1532924,0.517618828,1.112430057,0.533966428
103,112.9369915,28.17129271,18.92718043,0.678680729,3.239403688,1.55491377
104,112.9367539,28.17115062,9.016886513,0.268588109,0.306913504,0.147318482
105,112.9369548,28.17085017,15.7219451,0.432873055,1.204015946,0.577927654
106,112.9370201,28.17093697,16.2016575,0.451007307,1.333303839,0.639985843
107,112.9369028,28.17122576,21.54899049,0.781356526,4.729100888,2.269968426
108,112.9368151,28.17124365,7.742653188,0.248060233,0.231871301,0.111298225
109,112.9379579,28.17196147,10.0489067,0.451175403,0.859213637,0.412422546
110,112.9377181,28.17227867,11.70611264,0.526359851,1.307513734,0.627606592
111,112.9381233,28.17217122,21.53546176,0.583402141,2.769047749,1.32914292
112,112.937757,28.17238107,3.283253767,0.145304839,0.041816229,0.02007179
113,112.9378963,28.17236191,14.28807109,0.379356032,0.86877791,0.417013397
114,112.9379522,28.17253319,19.24729332,0.688959496,3.381847808,1.623286948
115,112.9381978,28.17246917,8.239668846,0.278636145,0.301662453,0.144797977
116,112.9380303,28.17263354,9.674773224,0.523461242,1.085914757,0.521239083
117,112.9381806,28.17284667,12.50485043,0.598743011,1.756581553,0.843159146
118,112.9383751,28.17265669,11.35542891,0.425157746,0.863693325,0.414572796
119,112.9384248,28.17271727,11.70433739,0.49328625,1.162121857,0.557818491
120,112.9382561,28.17291058,8.575718971,0.52079265,0.962787415,0.462137959
121,112.9379722,28.17283769,3.98459941,0.196251629,0.083825014,0.040236007
122,112.9385595,28.17294029,11.27584534,0.304712193,0.471700133,0.226416064
123,112.9385353,28.1730958,8.074675075,0.358383264,0.464220527,0.222825853
124,112.9384539,28.17296426,21.26263074,0.783920877,4.698966316,2.255503832
125,112.9383233,28.1731216,12.07655073,0.400521612,0.820715984,0.393943672
126,112.9384993,28.17280442,10.29204988,0.366849516,0.604910533,0.290357056
127,112.9383406,28.17293171,17.13902857,0.701378932,3.138361423,1.506413483
